Arquivos importados,Tempo acumulado MySQL,Tempo acumulado MongoDB
1000,4.5496380000000025,2.754833000000003
2000,9.615830000000004,4.354141000000003
3000,14.880696000000004,5.889693000000005
4000,19.727106000000006,7.536305000000006
5000,81.03079800000002,9.836115000000003
6000,92.53989400000002,11.439623000000001
7000,101.11408000000002,12.770109000000001
8000,106.05040100000002,13.961221
9000,113.09531900000002,15.257571000000002
10000,119.70766500000002,16.733917
11000,151.50451600000002,18.235873
12000,181.58685200000002,19.936429
13000,189.148727,21.221947
14000,208.056194,22.755326
15000,220.77675800000003,24.559718
16000,231.11410400000003,26.228119000000003
17000,239.78228200000004,27.956226000000004
18000,247.57803500000003,29.468023000000006
19000,252.95471400000002,30.997046000000005
20000,259.711198,32.46626200000001
21000,264.341114,33.91545500000001
22000,269.001775,35.31329000000001
23000,280.014482,36.92272500000001
24000,292.658901,38.500451000000005
25000,300.311462,40.20034700000001
26000,314.234579,41.93189400000001
27000,322.108688,43.649969000000006
28000,331.606633,45.214823
29000,338.407993,46.714436
30000,342.00618599999996,48.177425
31000,346.60925,49.657365
32000,351.58293299999997,51.316421999999996
33000,358.779325,52.791596
34000,364.86963099999997,54.309885
35000,378.083196,55.869474000000004
36000,389.603439,57.859925000000004
37000,395.19075,59.451295
38000,400.921514,60.979838
39000,406.585387,62.43782
40000,409.871573,63.636858000000004
41000,413.551963,64.72759400000001
42000,416.679607,65.861376
43000,419.437386,66.971596
44000,424.041812,68.30774600000001
45000,432.424628,69.531952
46000,439.012111,70.80352
47000,453.530397,72.054404
48000,458.253617,73.300521
49000,462.009247,74.510253
50000,466.376781,75.638796
51000,470.014765,76.867836
52000,473.73661000000004,77.987994
53000,478.94146700000005,79.304688
54000,483.512894,80.522815
55000,491.186457,81.78768
56000,494.868347,83.00119799999999
57000,500.820122,84.30287999999999
58000,506.59789800000004,85.470075
59000,510.74824800000005,86.70217299999999
60000,513.848819,87.83571999999998
61000,516.8833830000001,88.94239299999998
62000,520.8707100000001,90.05556899999998
63000,525.6966530000002,91.13897099999998
64000,528.5557330000001,92.26691499999998
65000,532.6352920000002,93.40869299999999
66000,539.5377950000002,94.54922099999999
67000,542.5789370000002,95.67743399999999
68000,552.8935900000002,96.80669999999999
69000,559.3579750000002,98.16815
70000,567.0216320000003,99.483495
71000,572.0663720000003,100.918268
72000,579.4121740000004,102.443316
73000,583.4840730000004,103.71373799999999
74000,590.7541530000004,105.07299499999999
75000,594.1970760000004,106.33635899999999
76000,606.9000120000004,107.66051399999999
77000,613.6914390000004,109.03038199999999
78000,618.9367860000004,110.22718699999999
79000,623.4908810000004,111.45983899999999
80000,627.0172940000004,112.60635199999999
81000,635.1569550000005,113.83973199999998
82000,644.1180050000005,115.21521899999999
83000,649.5257900000005,116.39762599999999
84000,652.9958520000005,117.58302199999999
85000,708.1922630000005,119.14643499999998
86000,747.6198640000005,120.57685499999998
87000,766.3493890000004,121.85735399999999
88000,769.6936370000004,122.93041399999998
89000,772.5366340000004,123.99770899999999
90000,775.9607750000004,125.11213299999999
91000,780.3751340000003,126.37604699999999
92000,813.9168140000003,127.80593899999998
93000,826.8168400000003,129.08691399999998
94000,838.8353580000003,130.48541299999997
95000,844.1485560000003,131.66271099999997
96000,848.6061900000003,133.09506899999997
97000,853.5038650000004,134.57312299999995
98000,861.1260640000004,136.08143099999995
99000,867.6691640000004,137.45290099999994
100000,886.7899880000003,138.89706599999994
101000,892.2989760000004,139.97415599999994
102000,896.7866470000004,141.09219299999992
103000,899.6349610000003,142.16201299999992
104000,906.9216830000003,143.56043499999993
105000,913.4187160000002,145.18670499999993
106000,922.1765820000003,146.40094699999995
107000,926.1093430000003,147.57257199999995
108000,933.2063780000003,148.72042699999994
109000,936.4886430000004,149.86878599999994
110000,943.5074380000003,151.27296199999995
111000,946.7484370000003,152.39855999999995
112000,949.8683640000003,153.51627399999995
113000,954.4003210000003,154.75357199999996
114000,972.4394030000003,156.39005699999996
115000,978.1349120000003,157.49341399999994
116000,984.1864720000003,158.91878399999996
117000,1008.0105470000003,160.32111799999996
118000,1037.4179240000003,161.69106799999994
119000,1043.7390890000004,163.04350899999994
120000,1051.6647440000004,164.39525099999994
121000,1055.2589340000004,165.73407099999994
122000,1065.1912890000003,167.01543399999994
123000,1069.5410800000004,168.44095699999994
124000,1076.6830660000005,169.64659899999995
